,channel_name,author,comments
0,#TheRanveerShow,Subuhi Nigar,"It has happened with me as well. I was in a Kurg resort and we  decided to trek up to the hill top till a temple , Two dogs  guided us , they were ahead of  us   all the time   showing path . when we used to sit down due to  tiredness, they also used to sit  next to us . What amazing animal Dogs are !"
1,#TheRanveerShow,Anand Kibe,"Talking about guiding path, read the story of Pilot Baba. He was falling unconscious in crashing plane when someone came into cockpit and guided him to gain control over the aircraft"
2,#TheRanveerShow,Dhiraj Jadhav,"Ur listening everyone opinion but I must admit.
What BK Shivani told few days back , that was absolute Truth.
We are in Dark phase of Kalyuga."
3,#TheRanveerShow,अहं ब्रह्मास्मि,Yes our dev and deity loves mountain that's why lots of temple situated in mountain uttrakhand
4,#TheRanveerShow,Sandeep K,"He is so true 
I went this temple 
This temple is so near to my village.
Absolutely true"
5,#TheRanveerShow,Akhil Maitreya,"The birth place of Lord Hanuman is on Anjanadri hill in Tirumala, Andhra Pradesh. It is officially proved with facts and data by TTD comittee by extensive research  derived from manuscripts of ancient Indian texts and even matching the mythological stories which all only point to this place."
6,#TheRanveerShow,Gautam Jain,"It’s just a normal everyday experience. The dogs must be used to roaming that path and would be seeing lot of visitors take that route, so it’s natural for them to take that path. 

As for sadhus asking the priest to not ask the person to move out, it’s again a very normal thing. When they see a sincere seeker they would want to let him be. 

As for being offered tea by the sadhus, it’s again the most ordinary thing. It’s early in the morning, and the person is alone meditating in the temple, and if the sadhus were having tea, they might have thought  of sharing it with him. 

It’s the most ordinary normal everyday experience to my mind."
7,#TheRanveerShow,Chandrashekar Pathepurkar,It's happened to me as well but in exactly Anjanadri Hill
8,#TheRanveerShow,Harshad Bhusari,Jai Hanuman
9,#TheRanveerShow,P K Mishra,"Jai Shree Ram, Jai Hanuman"
10,#TheRanveerShow,Kanishk Dayama,Jai shree ram
11,#TheRanveerShow,Tarun Patra,"Jai Shri Ram , Jai Hanuman"
12,#TheRanveerShow,Niel,"You should search about Baba Neem Karori, even Steve jobs was a devotee of him, all your questions will be answered merely reading his stories"
13,#TheRanveerShow,Mileend gamerz,Jai bajrangbali
14,#TheRanveerShow,Tilak Kuruva,Jai Bajrang Bali ️️
